,Unnamed: 0,Unnamed: 0_x,name,id,Unnamed: 0_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,end_time,ms_played,artist_name
1005,1014,1014,Din Shagna Da,20rwogC6aE369YsxFb5aRp,972,0.583,0.452,11,-10.459,0,0.026,0.802,0.00632,0.143,0.327,79.999,audio_features,spotify:track:20rwogC6aE369YsxFb5aRp,https://api.spotify.com/v1/tracks/20rwogC6aE369YsxFb5aRp,https://api.spotify.com/v1/audio-analysis/20rwogC6aE369YsxFb5aRp,215305,4,2023-11-08 03:00,72864,Jasleen Royal
1006,1015,1015,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),6bNB5gxFX6Q87DbQWb8OWZ,973,0.758,0.871,2,-6.408,1,0.147,0.0062,0.0,0.0663,0.753,126.994,audio_features,spotify:track:6bNB5gxFX6Q87DbQWb8OWZ,https://api.spotify.com/v1/tracks/6bNB5gxFX6Q87DbQWb8OWZ,https://api.spotify.com/v1/audio-analysis/6bNB5gxFX6Q87DbQWb8OWZ,202627,4,2023-11-09 14:29,216789,Shakira
1007,1016,1016,Replay,4E5P1XyAFtrjpiIxkydly4,974,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,audio_features,spotify:track:4E5P1XyAFtrjpiIxkydly4,https://api.spotify.com/v1/tracks/4E5P1XyAFtrjpiIxkydly4,https://api.spotify.com/v1/audio-analysis/4E5P1XyAFtrjpiIxkydly4,182307,4,2023-11-09 15:22,87678,Iyaz
1008,1017,1017,Talk Dirty (feat. 2 Chainz),5l3CML2OnzfNs5RfVgbcLt,975,0.76,0.652,6,-7.321,1,0.232,0.0348,0.0,0.307,0.759,100.315,audio_features,spotify:track:5l3CML2OnzfNs5RfVgbcLt,https://api.spotify.com/v1/tracks/5l3CML2OnzfNs5RfVgbcLt,https://api.spotify.com/v1/audio-analysis/5l3CML2OnzfNs5RfVgbcLt,177685,4,2024-02-27 15:52,6153759,Jason Derulo
1009,1018,1018,Toca Toca - Radio Edit,2yLIf0wQ7lqhuwpdZBfmGZ,976,0.907,0.61,10,-4.588,0,0.0922,0.0211,3.28e-05,0.0317,0.926,125.975,audio_features,spotify:track:2yLIf0wQ7lqhuwpdZBfmGZ,https://api.spotify.com/v1/tracks/2yLIf0wQ7lqhuwpdZBfmGZ,https://api.spotify.com/v1/audio-analysis/2yLIf0wQ7lqhuwpdZBfmGZ,165606,4,2023-11-09 15:29,134680,Fly Project
1010,1019,1019,295,5W7DOVGQLTigu09afW7QMT,977,0.557,0.794,11,-5.698,0,0.2,0.179,0.0,0.106,0.432,91.366,audio_features,spotify:track:5W7DOVGQLTigu09afW7QMT,https://api.spotify.com/v1/tracks/5W7DOVGQLTigu09afW7QMT,https://api.spotify.com/v1/audio-analysis/5W7DOVGQLTigu09afW7QMT,270000,4,2024-01-19 10:13,82111,Sidhu Moose Wala
1011,1020,1020,Ghodey Pe Sawaar,1a8w8nlIyIhE2W1HIayKnl,83,0.777,0.481,3,-6.127,1,0.0274,0.794,4.23e-05,0.265,0.814,102.003,audio_features,spotify:track:1a8w8nlIyIhE2W1HIayKnl,https://api.spotify.com/v1/tracks/1a8w8nlIyIhE2W1HIayKnl,https://api.spotify.com/v1/audio-analysis/1a8w8nlIyIhE2W1HIayKnl,193832,4,2023-11-11 05:44,181162,Amit Trivedi
1012,1021,1021,"Ek Zindagi (From ""Angrezi Medium"")",6shPaz0rzOAGatiY6X6zLQ,978,0.688,0.609,0,-7.096,0,0.0495,0.0706,0.0,0.157,0.627,110.027,audio_features,spotify:track:6shPaz0rzOAGatiY6X6zLQ,https://api.spotify.com/v1/tracks/6shPaz0rzOAGatiY6X6zLQ,https://api.spotify.com/v1/audio-analysis/6shPaz0rzOAGatiY6X6zLQ,170089,4,2023-11-11 06:23,170088,Taniskaa Sanghvi
1013,1022,1022,Apna Bana Le,5bQ6oDLqvw8tywmnSmwEyL,979,0.586,0.562,9,-7.399,1,0.0267,0.803,5.52e-06,0.063,0.436,93.982,audio_features,spotify:track:5bQ6oDLqvw8tywmnSmwEyL,https://api.spotify.com/v1/tracks/5bQ6oDLqvw8tywmnSmwEyL,https://api.spotify.com/v1/audio-analysis/5bQ6oDLqvw8tywmnSmwEyL,261702,4,2024-02-08 11:34,740672,Sachin-Jigar
1014,1023,1023,O Sanam,2cGRuloXezvHDpoHX2bVyu,980,0.325,0.409,7,-11.922,1,0.0336,0.637,0.832,0.58,0.115,81.209,audio_features,spotify:track:2cGRuloXezvHDpoHX2bVyu,https://api.spotify.com/v1/tracks/2cGRuloXezvHDpoHX2bVyu,https://api.spotify.com/v1/audio-analysis/2cGRuloXezvHDpoHX2bVyu,186353,4,2023-11-12 17:37,223027,Lucky Ali
