,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
554,4Idmj8R6EpEmAJ3YMP3Lut,0.209,0.406,8,-13.486,1,0.0369,0.436,0.875,0.108,0.0701,111.901,audio_features,spotify:track:4Idmj8R6EpEmAJ3YMP3Lut,https://api.spotify.com/v1/tracks/4Idmj8R6EpEmAJ3YMP3Lut,https://api.spotify.com/v1/audio-analysis/4Idmj8R6EpEmAJ3YMP3Lut,194713,3
555,5viFjDGTnrApmUY5c8qkfw,0.395,0.375,0,-7.948,1,0.034,0.225,0,0.145,0.131,121.04,audio_features,spotify:track:5viFjDGTnrApmUY5c8qkfw,https://api.spotify.com/v1/tracks/5viFjDGTnrApmUY5c8qkfw,https://api.spotify.com/v1/audio-analysis/5viFjDGTnrApmUY5c8qkfw,175594,4
556,5CYJB5Md92kvcrZ4lJDALY,0.651,0.898,11,-4.942,1,0.0391,0.152,0,0.11,0.599,126.051,audio_features,spotify:track:5CYJB5Md92kvcrZ4lJDALY,https://api.spotify.com/v1/tracks/5CYJB5Md92kvcrZ4lJDALY,https://api.spotify.com/v1/audio-analysis/5CYJB5Md92kvcrZ4lJDALY,240893,4
557,03hJuEQpEQERrHpjcXKWzJ,0.602,0.374,10,-9.849,0,0.0328,0.924,0.00000753,0.084,0.388,101.855,audio_features,spotify:track:03hJuEQpEQERrHpjcXKWzJ,https://api.spotify.com/v1/tracks/03hJuEQpEQERrHpjcXKWzJ,https://api.spotify.com/v1/audio-analysis/03hJuEQpEQERrHpjcXKWzJ,305232,4
558,5iydgkuP2lJFDT9CgyY26x,0.589,0.419,7,-10.485,1,0.0265,0.866,0.00000879,0.136,0.437,102.973,audio_features,spotify:track:5iydgkuP2lJFDT9CgyY26x,https://api.spotify.com/v1/tracks/5iydgkuP2lJFDT9CgyY26x,https://api.spotify.com/v1/audio-analysis/5iydgkuP2lJFDT9CgyY26x,222376,4
559,2sjSJEYve7cJnJmZyOnW8n,0.724,0.55,4,-8.474,0,0.127,0.669,0,0.205,0.349,150.01,audio_features,spotify:track:2sjSJEYve7cJnJmZyOnW8n,https://api.spotify.com/v1/tracks/2sjSJEYve7cJnJmZyOnW8n,https://api.spotify.com/v1/audio-analysis/2sjSJEYve7cJnJmZyOnW8n,160067,4
560,1opxtm6zIv7IF19S0eCtvV,0.768,0.788,1,-5.514,1,0.0687,0.0992,0.0000294,0.103,0.931,112.988,audio_features,spotify:track:1opxtm6zIv7IF19S0eCtvV,https://api.spotify.com/v1/tracks/1opxtm6zIv7IF19S0eCtvV,https://api.spotify.com/v1/audio-analysis/1opxtm6zIv7IF19S0eCtvV,218932,4
561,6AooRgSRDzbCYL4NZ4RCjU,0.862,0.619,6,-6.645,0,0.318,0.0434,0,0.117,0.512,95.036,audio_features,spotify:track:6AooRgSRDzbCYL4NZ4RCjU,https://api.spotify.com/v1/tracks/6AooRgSRDzbCYL4NZ4RCjU,https://api.spotify.com/v1/audio-analysis/6AooRgSRDzbCYL4NZ4RCjU,174000,4
562,4noL2Yl8FASn18NLAXLl1P,0.369,0.0879,2,-20.58,1,0.0501,0.985,0.0402,0.835,0.185,117.673,audio_features,spotify:track:4noL2Yl8FASn18NLAXLl1P,https://api.spotify.com/v1/tracks/4noL2Yl8FASn18NLAXLl1P,https://api.spotify.com/v1/audio-analysis/4noL2Yl8FASn18NLAXLl1P,519667,3
563,1xSCr5uIndaHKFdO4s2V6B,0.598,0.804,2,-5.39,1,0.123,0.0576,0,0.252,0.322,139.737,audio_features,spotify:track:1xSCr5uIndaHKFdO4s2V6B,https://api.spotify.com/v1/tracks/1xSCr5uIndaHKFdO4s2V6B,https://api.spotify.com/v1/audio-analysis/1xSCr5uIndaHKFdO4s2V6B,182640,4
564,6SNFuJXjkgauo3Kg9XJcj6,0.634,0.884,6,-6.259,1,0.334,0.0994,0,0.266,0.39,103.973,audio_features,spotify:track:6SNFuJXjkgauo3Kg9XJcj6,https://api.spotify.com/v1/tracks/6SNFuJXjkgauo3Kg9XJcj6,https://api.spotify.com/v1/audio-analysis/6SNFuJXjkgauo3Kg9XJcj6,198857,4
565,0FIXCQVapC8mPzb88Da5Su,0.452,0.522,2,-12.924,1,0.0428,0.0113,0.951,0.109,0.41,179.814,audio_features,spotify:track:0FIXCQVapC8mPzb88Da5Su,https://api.spotify.com/v1/tracks/0FIXCQVapC8mPzb88Da5Su,https://api.spotify.com/v1/audio-analysis/0FIXCQVapC8mPzb88Da5Su,112791,4
